,query,lab1,lab2,lab3,lab4,lab5,word_count,has_num,char_count,char_per_word,noun_count,verb_count,prep_count,meaning_count,categories,super_categories,sup1,sup2,sup3,sup4,sup_cat_bool,bools,label1,label2,label3,label4,label5,label6,label7
14,african capitals,Information\Local & Regional ,Information\Law & Politics,Information\Arts & Humanities,Living\Travel & Vacation,,2,False,16,8.0,0,0,0,4,"['Information\\Local & Regional ', 'Information\\Law & Politics', 'Information\\Arts & Humanities', 'Living\\Travel & Vacation']","['Information', 'Living']",Living,['Information',,,"[False, False, True, True, False, False, False]","['FALSE', 'FALSE', 'TRUE', 'TRUE', 'FALSE', 'FALSE', 'FALSE']",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
15,aircargo tracking,Information\References & Libraries,Information\Other,Information\Companies & Industries,Living\Travel & Vacation,,2,False,17,8.5,1,0,0,4,"['Information\\References & Libraries', 'Information\\Other', 'Information\\Companies & Industries', 'Living\\Travel & Vacation']","['Information', 'Living']",Living,['Information',,,"[False, False, True, True, False, False, False]","['FALSE', 'FALSE', 'TRUE', 'TRUE', 'FALSE', 'FALSE', 'FALSE']",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
16,airline carryon restrictions,Living\Travel & Vacation,Information\Other,Information\Companies & Industries,,,3,False,28,9.333333333333334,2,0,0,3,"['Living\\Travel & Vacation', 'Information\\Other', 'Information\\Companies & Industries']","['Information', 'Living']",Living,['Information',,,"[False, False, True, True, False, False, False]","['FALSE', 'FALSE', 'TRUE', 'TRUE', 'FALSE', 'FALSE', 'FALSE']",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
17,airline reservations,Living\Travel & Vacation,Information\Companies & Industries,Shopping\Stores & Products,Shopping\Other,,2,False,20,10.0,1,0,0,4,"['Living\\Travel & Vacation', 'Information\\Companies & Industries', 'Shopping\\Stores & Products', 'Shopping\\Other']","['Information', 'Living', 'Shopping']",Shopping, 'Living',['Information',,"[False, False, True, True, False, True, False]","['FALSE', 'FALSE', 'TRUE', 'TRUE', 'FALSE', 'TRUE', 'FALSE']",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
18,alcoholic recipes,Living\Food & Cooking,Living\Health & Fitness,Information\Other,,,2,False,17,8.5,0,0,0,3,"['Living\\Food & Cooking', 'Living\\Health & Fitness', 'Information\\Other']","['Information', 'Living']",Living,['Information',,,"[False, False, True, True, False, False, False]","['FALSE', 'FALSE', 'TRUE', 'TRUE', 'FALSE', 'FALSE', 'FALSE']",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
19,all music,Entertainment\Music,Information\Arts & Humanities,Information\References & Libraries,Information\Companies & Industries,Online Community\Homepages,2,False,9,4.5,1,0,0,5,"['Entertainment\\Music', 'Information\\Arts & Humanities', 'Information\\References & Libraries', 'Information\\Companies & Industries', 'Online Community\\Homepages']","['Entertainment', 'Information', 'Online']",Online, 'Information',['Entertainment',,"[False, True, True, False, True, False, False]","['FALSE', 'TRUE', 'TRUE', 'FALSE', 'TRUE', 'FALSE', 'FALSE']",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
20,allan iverson,Sports\Basketball,Entertainment\Celebrities,Information\Arts & Humanities,,,2,False,13,6.5,2,0,0,3,"['Sports\\Basketball', 'Entertainment\\Celebrities', 'Information\\Arts & Humanities']","['Entertainment', 'Information', 'Sports']",Sports, 'Information',['Entertainment',,"[False, True, True, False, False, False, True]","['FALSE', 'TRUE', 'TRUE', 'FALSE', 'FALSE', 'FALSE', 'TRUE']",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
21,alpena high school,Information\Education,Information\Local & Regional ,,,,3,False,18,6.0,1,0,0,2,"['Information\\Education', 'Information\\Local & Regional ']",['Information'],Information,,,,"[False, False, True, False, False, False, False]","['FALSE', 'FALSE', 'TRUE', 'FALSE', 'FALSE', 'FALSE', 'FALSE']",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
22,american candle factory,Living\Furnishing & Houseware,Shopping\Stores & Products,Living\Gifts & Collectables,Information\Companies & Industries,,3,False,23,7.666666666666668,2,0,0,4,"['Living\\Furnishing & Houseware', 'Shopping\\Stores & Products', 'Living\\Gifts & Collectables', 'Information\\Companies & Industries']","['Information', 'Living', 'Shopping']",Shopping, 'Living',['Information',,"[False, False, True, True, False, True, False]","['FALSE', 'FALSE', 'TRUE', 'TRUE', 'FALSE', 'TRUE', 'FALSE']",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
23,american express company,Information\Companies & Industries,Living\Finance & Investment,,,,3,False,24,8.0,2,0,0,2,"['Information\\Companies & Industries', 'Living\\Finance & Investment']","['Information', 'Living']",Living,['Information',,,"[False, False, True, True, False, False, False]","['FALSE', 'FALSE', 'TRUE', 'TRUE', 'FALSE', 'FALSE', 'FALSE']",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
24,american girl,Information\Companies & Industries,Shopping\Stores & Products,Living\Family & Kids,Living\Book & Magazine,Information\Education,2,False,13,6.5,1,0,0,5,"['Information\\Companies & Industries', 'Shopping\\Stores & Products', 'Living\\Family & Kids', 'Living\\Book & Magazine', 'Information\\Education']","['Information', 'Living', 'Shopping']",Shopping, 'Living',['Information',,"[False, False, True, True, False, True, False]","['FALSE', 'FALSE', 'TRUE', 'TRUE', 'FALSE', 'TRUE', 'FALSE']",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
25,amerisuites,Living\Travel & Vacation,Information\Companies & Industries,Shopping\Stores & Products,Shopping\Other,,1,False,11,11.0,0,0,0,4,"['Living\\Travel & Vacation', 'Information\\Companies & Industries', 'Shopping\\Stores & Products', 'Shopping\\Other']","['Information', 'Living', 'Shopping']",Shopping, 'Living',['Information',,"[False, False, True, True, False, True, False]","['FALSE', 'FALSE', 'TRUE', 'TRUE', 'FALSE', 'TRUE', 'FALSE']",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
26,amniocentisis,Living\Health & Fitness,Living\Family & Kids,Information\Science & Technology,,,1,False,13,13.0,1,0,0,3,"['Living\\Health & Fitness', 'Living\\Family & Kids', 'Information\\Science & Technology']","['Information', 'Living']",Living,['Information',,,"[False, False, True, True, False, False, False]","['FALSE', 'FALSE', 'TRUE', 'TRUE', 'FALSE', 'FALSE', 'FALSE']",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
27,animated movies,Entertainment\Movies,Living\Family & Kids,Computers\Multimedia,Entertainment\Games & Toys,,2,False,15,7.5,0,0,0,4,"['Entertainment\\Movies', 'Living\\Family & Kids', 'Computers\\Multimedia', 'Entertainment\\Games & Toys']","['Computers', 'Entertainment', 'Living']",Living, 'Entertainment',['Computers',,"[True, True, False, True, False, False, False]","['TRUE', 'TRUE', 'FALSE', 'TRUE', 'FALSE', 'FALSE', 'FALSE']",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
28,anne klein watches,Shopping\Stores & Products,Living\Fashion & Apparel,Living\Gifts & Collectables,Information\Companies & Industries,Shopping\Buying Guides & Researching,3,False,18,6.0,2,0,0,5,"['Shopping\\Stores & Products', 'Living\\Fashion & Apparel', 'Living\\Gifts & Collectables', 'Information\\Companies & Industries', 'Shopping\\Buying Guides & Researching']","['Information', 'Living', 'Shopping']",Shopping, 'Living',['Information',,"[False, False, True, True, False, True, False]","['FALSE', 'FALSE', 'TRUE', 'TRUE', 'FALSE', 'TRUE', 'FALSE']",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
29,anniversary ring,Living\Gifts & Collectables,Living\Fashion & Apparel,Living\Dating & Relationships,Shopping\Stores & Products,Shopping\Buying Guides & Researching,2,False,16,8.0,1,0,0,5,"['Living\\Gifts & Collectables', 'Living\\Fashion & Apparel', 'Living\\Dating & Relationships', 'Shopping\\Stores & Products', 'Shopping\\Buying Guides & Researching']","['Living', 'Shopping']",Shopping,['Living',,,"[False, False, False, True, False, True, False]","['FALSE', 'FALSE', 'FALSE', 'TRUE', 'FALSE', 'TRUE', 'FALSE']",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
30,annuity loans,Living\Finance & Investment,Shopping\Other,Information\Companies & Industries,Information\Law & Politics,,2,False,13,6.5,1,0,0,4,"['Living\\Finance & Investment', 'Shopping\\Other', 'Information\\Companies & Industries', 'Information\\Law & Politics']","['Information', 'Living', 'Shopping']",Shopping, 'Living',['Information',,"[False, False, True, True, False, True, False]","['FALSE', 'FALSE', 'TRUE', 'TRUE', 'FALSE', 'TRUE', 'FALSE']",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
31,apha,Information\Law & Politics,Living\Health & Fitness,Living\Pets & Animals,Information\Companies & Industries,,1,False,4,4.0,1,0,0,4,"['Information\\Law & Politics', 'Living\\Health & Fitness', 'Living\\Pets & Animals', 'Information\\Companies & Industries']","['Information', 'Living']",Living,['Information',,,"[False, False, True, True, False, False, False]","['FALSE', 'FALSE', 'TRUE', 'TRUE', 'FALSE', 'FALSE', 'FALSE']",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
32,applause,Shopping\Stores & Products,Information\Arts & Humanities,Living\Fashion & Apparel,Entertainment\Music,Entertainment\Celebrities,1,False,8,8.0,1,0,0,5,"['Shopping\\Stores & Products', 'Information\\Arts & Humanities', 'Living\\Fashion & Apparel', 'Entertainment\\Music', 'Entertainment\\Celebrities']","['Entertainment', 'Information', 'Living', 'Shopping']",Shopping, 'Living', 'Information',['Entertainment',"[False, True, True, True, False, True, False]","['FALSE', 'TRUE', 'TRUE', 'TRUE', 'FALSE', 'TRUE', 'FALSE']",FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
33,application servers,Computers\Software,Computers\Internet & Intranet,Computers\Networks & Telecommunication,Computers\Security,Shopping\Buying Guides & Researching,2,False,19,9.5,1,0,0,5,"['Computers\\Software', 'Computers\\Internet & Intranet', 'Computers\\Networks & Telecommunication', 'Computers\\Security', 'Shopping\\Buying Guides & Researching']","['Computers', 'Shopping']",Shopping,['Computers',,,"[True, False, False, False, False, True, False]","['TRUE', 'FALSE', 'FALSE', 'FALSE', 'FALSE', 'TRUE', 'FALSE']",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
34,appraiser forum,Online Community\Forums & Groups,Living\Career & Jobs,Living\Finance & Investment,Living\Real Estate,Information\Companies & Industries,2,False,15,7.5,2,0,0,5,"['Online Community\\Forums & Groups', 'Living\\Career & Jobs', 'Living\\Finance & Investment', 'Living\\Real Estate', 'Information\\Companies & Industries']","['Information', 'Living', 'Online']",Online, 'Living',['Information',,"[False, False, True, True, True, False, False]","['FALSE', 'FALSE', 'TRUE', 'TRUE', 'TRUE', 'FALSE', 'FALSE']",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
35,aquarium,Living\Pets & Animals,Living\Travel & Vacation,Information\Science & Technology,Information\Education,Living\Family & Kids,1,False,8,8.0,1,0,0,5,"['Living\\Pets & Animals', 'Living\\Travel & Vacation', 'Information\\Science & Technology', 'Information\\Education', 'Living\\Family & Kids']","['Information', 'Living']",Living,['Information',,,"[False, False, True, True, False, False, False]","['FALSE', 'FALSE', 'TRUE', 'TRUE', 'FALSE', 'FALSE', 'FALSE']",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
36,arabic poems,Information\Arts & Humanities,Living\Book & Magazine,Living\Religion & Belief,,,2,False,12,6.0,0,0,0,3,"['Information\\Arts & Humanities', 'Living\\Book & Magazine', 'Living\\Religion & Belief']","['Information', 'Living']",Living,['Information',,,"[False, False, True, True, False, False, False]","['FALSE', 'FALSE', 'TRUE', 'TRUE', 'FALSE', 'FALSE', 'FALSE']",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
37,architecture competition,Information\Science & Technology,Information\Arts & Humanities,Living\Career & Jobs,,,2,False,24,12.0,2,0,0,3,"['Information\\Science & Technology', 'Information\\Arts & Humanities', 'Living\\Career & Jobs']","['Information', 'Living']",Living,['Information',,,"[False, False, True, True, False, False, False]","['FALSE', 'FALSE', 'TRUE', 'TRUE', 'FALSE', 'FALSE', 'FALSE']",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
38,arizona bar exam,Information\Law & Politics,Living\Career & Jobs,Information\Local & Regional ,Information\Education,,3,False,16,5.333333333333333,2,0,0,4,"['Information\\Law & Politics', 'Living\\Career & Jobs', 'Information\\Local & Regional ', 'Information\\Education']","['Information', 'Living']",Living,['Information',,,"[False, False, True, True, False, False, False]","['FALSE', 'FALSE', 'TRUE', 'TRUE', 'FALSE', 'FALSE', 'FALSE']",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
39,arthritis pain,Living\Health & Fitness,Information\Science & Technology,,,,2,False,14,7.0,2,0,0,2,"['Living\\Health & Fitness', 'Information\\Science & Technology']","['Information', 'Living']",Living,['Information',,,"[False, False, True, True, False, False, False]","['FALSE', 'FALSE', 'TRUE', 'TRUE', 'FALSE', 'FALSE', 'FALSE']",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
40,arthur tress,Information\Arts & Humanities,Entertainment\Celebrities,Living\Book & Magazine,,,2,False,12,6.0,2,0,0,3,"['Information\\Arts & Humanities', 'Entertainment\\Celebrities', 'Living\\Book & Magazine']","['Entertainment', 'Information', 'Living']",Living, 'Information',['Entertainment',,"[False, True, True, True, False, False, False]","['FALSE', 'TRUE', 'TRUE', 'TRUE', 'FALSE', 'FALSE', 'FALSE']",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
41,articles of incorperation;washington,Information\Law & Politics,Information\References & Libraries,Information\Companies & Industries,Shopping\Other,,3,False,36,12.0,1,0,1,4,"['Information\\Law & Politics', 'Information\\References & Libraries', 'Information\\Companies & Industries', 'Shopping\\Other']","['Information', 'Shopping']",Shopping,['Information',,,"[False, False, True, False, False, True, False]","['FALSE', 'FALSE', 'TRUE', 'FALSE', 'FALSE', 'TRUE', 'FALSE']",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
42,artistic greetings,Living\Gifts & Collectables,Information\Arts & Humanities,Entertainment\Other,,,2,False,18,9.0,0,0,0,3,"['Living\\Gifts & Collectables', 'Information\\Arts & Humanities', 'Entertainment\\Other']","['Entertainment', 'Information', 'Living']",Living, 'Information',['Entertainment',,"[False, True, True, True, False, False, False]","['FALSE', 'TRUE', 'TRUE', 'TRUE', 'FALSE', 'FALSE', 'FALSE']",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
43,ashley furniture outlet,Living\Furnishing & Houseware,Information\Local & Regional ,Information\Companies & Industries,Shopping\Stores & Products,Shopping\Bargains & Discounts,3,False,23,7.666666666666668,2,0,0,5,"['Living\\Furnishing & Houseware', 'Information\\Local & Regional ', 'Information\\Companies & Industries', 'Shopping\\Stores & Products', 'Shopping\\Bargains & Discounts']","['Information', 'Living', 'Shopping']",Shopping, 'Living',['Information',,"[False, False, True, True, False, True, False]","['FALSE', 'FALSE', 'TRUE', 'TRUE', 'FALSE', 'TRUE', 'FALSE']",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
44,asia pacific,Information\Local & Regional ,Information\Law & Politics,Living\Travel & Vacation,,,2,False,12,6.0,2,0,0,3,"['Information\\Local & Regional ', 'Information\\Law & Politics', 'Living\\Travel & Vacation']","['Information', 'Living']",Living,['Information',,,"[False, False, True, True, False, False, False]","['FALSE', 'FALSE', 'TRUE', 'TRUE', 'FALSE', 'FALSE', 'FALSE']",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
45,asking for a raise,Living\Career & Jobs,Information\Companies & Industries,Information\Other,,,4,False,18,4.5,1,0,1,3,"['Living\\Career & Jobs', 'Information\\Companies & Industries', 'Information\\Other']","['Information', 'Living']",Living,['Information',,,"[False, False, True, True, False, False, False]","['FALSE', 'FALSE', 'TRUE', 'TRUE', 'FALSE', 'FALSE', 'FALSE']",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
46,askjevies,Computers\Internet & Intranet,Information\References & Libraries,Information\Companies & Industries,Online Community\Homepages,,1,False,9,9.0,0,0,0,4,"['Computers\\Internet & Intranet', 'Information\\References & Libraries', 'Information\\Companies & Industries', 'Online Community\\Homepages']","['Computers', 'Information', 'Online']",Online, 'Information',['Computers',,"[True, False, True, False, True, False, False]","['TRUE', 'FALSE', 'TRUE', 'FALSE', 'TRUE', 'FALSE', 'FALSE']",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
47,ata hotels in italy,Living\Travel & Vacation,Information\Local & Regional ,Information\Companies & Industries,Shopping\Buying Guides & Researching,Shopping\Stores & Products,4,False,19,4.75,2,0,1,5,"['Living\\Travel & Vacation', 'Information\\Local & Regional ', 'Information\\Companies & Industries', 'Shopping\\Buying Guides & Researching', 'Shopping\\Stores & Products']","['Information', 'Living', 'Shopping']",Shopping, 'Living',['Information',,"[False, False, True, True, False, True, False]","['FALSE', 'FALSE', 'TRUE', 'TRUE', 'FALSE', 'TRUE', 'FALSE']",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
48,athlon xp,Computers\Hardware,Shopping\Buying Guides & Researching,Information\Companies & Industries,,,2,False,9,4.5,2,0,0,3,"['Computers\\Hardware', 'Shopping\\Buying Guides & Researching', 'Information\\Companies & Industries']","['Computers', 'Information', 'Shopping']",Shopping, 'Information',['Computers',,"[True, False, True, False, False, True, False]","['TRUE', 'FALSE', 'TRUE', 'FALSE', 'FALSE', 'TRUE', 'FALSE']",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
49,atv trails,Sports\Outdoor Recreations,Living\Travel & Vacation,Information\Local & Regional ,Information\References & Libraries,Sports\Auto Racing,2,False,10,5.0,1,0,0,5,"['Sports\\Outdoor Recreations', 'Living\\Travel & Vacation', 'Information\\Local & Regional ', 'Information\\References & Libraries', 'Sports\\Auto Racing']","['Information', 'Living', 'Sports']",Sports, 'Living',['Information',,"[False, False, True, True, False, False, True]","['FALSE', 'FALSE', 'TRUE', 'TRUE', 'FALSE', 'FALSE', 'TRUE']",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
50,aubergine,Living\Food & Cooking,Information\Companies & Industries,Living\Travel & Vacation,Shopping\Other,Information\Local & Regional ,1,False,9,9.0,1,0,0,5,"['Living\\Food & Cooking', 'Information\\Companies & Industries', 'Living\\Travel & Vacation', 'Shopping\\Other', 'Information\\Local & Regional ']","['Information', 'Living', 'Shopping']",Shopping, 'Living',['Information',,"[False, False, True, True, False, True, False]","['FALSE', 'FALSE', 'TRUE', 'TRUE', 'FALSE', 'TRUE', 'FALSE']",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
51,austin realtors,Living\Real Estate,Information\References & Libraries,Information\Local & Regional ,Living\Career & Jobs,,2,False,15,7.5,1,0,0,4,"['Living\\Real Estate', 'Information\\References & Libraries', 'Information\\Local & Regional ', 'Living\\Career & Jobs']","['Information', 'Living']",Living,['Information',,,"[False, False, True, True, False, False, False]","['FALSE', 'FALSE', 'TRUE', 'TRUE', 'FALSE', 'FALSE', 'FALSE']",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
52,australian law foundation,Information\Law & Politics,Information\Local & Regional ,Information\Arts & Humanities,,,3,False,25,8.333333333333334,2,0,0,3,"['Information\\Law & Politics', 'Information\\Local & Regional ', 'Information\\Arts & Humanities']",['Information'],Information,,,,"[False, False, True, False, False, False, False]","['FALSE', 'FALSE', 'TRUE', 'FALSE', 'FALSE', 'FALSE', 'FALSE']",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
53,auto blue book prices,Living\Car & Garage,Shopping\Buying Guides & Researching,Shopping\Bargains & Discounts,Information\References & Libraries,Shopping\Stores & Products,4,False,21,5.25,2,0,0,5,"['Living\\Car & Garage', 'Shopping\\Buying Guides & Researching', 'Shopping\\Bargains & Discounts', 'Information\\References & Libraries', 'Shopping\\Stores & Products']","['Information', 'Living', 'Shopping']",Shopping, 'Living',['Information',,"[False, False, True, True, False, True, False]","['FALSE', 'FALSE', 'TRUE', 'TRUE', 'FALSE', 'TRUE', 'FALSE']",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
